# BVec Raw Data (Entire Vector): 278528 elements
# Format: index,byte_value,hex_value,as_int8,interpretation
115,4,0x4,4,weight
116,4,0x4,4,weight
117,4,0x4,4,weight
118,4,0x4,4,weight
119,4,0x4,4,weight
120,8,0x8,8,weight
121,8,0x8,8,weight
122,8,0x8,8,weight
123,8,0x8,8,weight
124,8,0x8,8,weight
125,8,0x8,8,weight
126,8,0x8,8,weight
127,8,0x8,8,weight
128,4,0x4,4,weight
129,4,0x4,4,weight
130,4,0x4,4,weight
131,4,0x4,4,weight
132,4,0x4,4,weight
133,4,0x4,4,weight
134,4,0x4,4,weight
135,4,0x4,4,weight
136,8,0x8,8,weight
137,8,0x8,8,weight
138,8,0x8,8,weight
139,8,0x8,8,weight
140,8,0x8,8,weight
141,8,0x8,8,weight
142,8,0x8,8,weight
143,8,0x8,8,weight
144,4,0x4,4,weight
145,4,0x4,4,weight
146,4,0x4,4,weight
147,4,0x4,4,weight
148,4,0x4,4,weight
149,4,0x4,4,weight
150,4,0x4,4,weight
151,4,0x4,4,weight
152,8,0x8,8,weight
153,8,0x8,8,weight
154,8,0x8,8,weight
155,8,0x8,8,weight
156,8,0x8,8,weight
157,8,0x8,8,weight
158,8,0x8,8,weight
159,8,0x8,8,weight
160,4,0x4,4,weight
161,4,0x4,4,weight
162,4,0x4,4,weight
163,4,0x4,4,weight
164,4,0x4,4,weight
165,4,0x4,4,weight
166,4,0x4,4,weight
167,4,0x4,4,weight
168,8,0x8,8,weight
169,8,0x8,8,weight
170,8,0x8,8,weight
171,8,0x8,8,weight
172,8,0x8,8,weight
173,8,0x8,8,weight
174,8,0x8,8,weight
175,8,0x8,8,weight
176,4,0x4,4,weight
177,4,0x4,4,weight
178,4,0x4,4,weight
179,4,0x4,4,weight
180,4,0x4,4,weight
181,4,0x4,4,weight
182,4,0x4,4,weight
183,4,0x4,4,weight
184,8,0x8,8,weight
185,8,0x8,8,weight
186,8,0x8,8,weight
187,8,0x8,8,weight
188,8,0x8,8,weight
189,8,0x8,8,weight
190,8,0x8,8,weight
191,8,0x8,8,weight
192,4,0x4,4,weight
193,4,0x4,4,weight
194,4,0x4,4,weight
195,4,0x4,4,weight
196,4,0x4,4,weight
197,4,0x4,4,weight
198,4,0x4,4,weight
199,4,0x4,4,weight
200,8,0x8,8,weight
201,8,0x8,8,weight
202,8,0x8,8,weight
203,8,0x8,8,weight
204,8,0x8,8,weight
205,8,0x8,8,weight
206,8,0x8,8,weight
207,8,0x8,8,weight
208,4,0x4,4,weight
209,4,0x4,4,weight
210,4,0x4,4,weight
211,4,0x4,4,weight
212,4,0x4,4,weight
213,4,0x4,4,weight
214,4,0x4,4,weight
215,4,0x4,4,weight
216,8,0x8,8,weight
217,8,0x8,8,weight
218,8,0x8,8,weight
219,8,0x8,8,weight
220,8,0x8,8,weight
221,8,0x8,8,weight
222,8,0x8,8,weight
223,8,0x8,8,weight
224,4,0x4,4,weight
225,4,0x4,4,weight
226,4,0x4,4,weight
227,4,0x4,4,weight
228,4,0x4,4,weight
229,4,0x4,4,weight
230,4,0x4,4,weight
231,4,0x4,4,weight
232,8,0x8,8,weight
233,8,0x8,8,weight
234,8,0x8,8,weight
235,8,0x8,8,weight
236,8,0x8,8,weight
237,8,0x8,8,weight
238,8,0x8,8,weight
239,8,0x8,8,weight
240,4,0x4,4,weight
241,4,0x4,4,weight
242,4,0x4,4,weight
243,4,0x4,4,weight
244,4,0x4,4,weight
245,4,0x4,4,weight
246,4,0x4,4,weight
247,4,0x4,4,weight
248,8,0x8,8,weight
249,8,0x8,8,weight
250,8,0x8,8,weight
251,8,0x8,8,weight
252,8,0x8,8,weight
253,8,0x8,8,weight
254,8,0x8,8,weight
255,8,0x8,8,weight
256,4,0x4,4,weight
257,4,0x4,4,weight
258,4,0x4,4,weight
259,4,0x4,4,weight
260,4,0x4,4,weight
261,4,0x4,4,weight
262,4,0x4,4,weight
263,4,0x4,4,weight
264,8,0x8,8,weight
265,8,0x8,8,weight
266,8,0x8,8,weight
267,8,0x8,8,weight
268,8,0x8,8,weight
269,8,0x8,8,weight
270,8,0x8,8,weight
271,8,0x8,8,weight
272,4,0x4,4,weight
273,4,0x4,4,weight
274,4,0x4,4,weight
275,4,0x4,4,weight
276,4,0x4,4,weight
277,4,0x4,4,weight
278,4,0x4,4,weight
279,4,0x4,4,weight
280,8,0x8,8,weight
281,8,0x8,8,weight
282,8,0x8,8,weight
283,8,0x8,8,weight
284,8,0x8,8,weight
285,8,0x8,8,weight
286,8,0x8,8,weight
287,8,0x8,8,weight
288,4,0x4,4,weight
289,4,0x4,4,weight
290,4,0x4,4,weight
291,4,0x4,4,weight
292,4,0x4,4,weight
293,4,0x4,4,weight
294,4,0x4,4,weight
295,4,0x4,4,weight
296,8,0x8,8,weight
297,8,0x8,8,weight
298,8,0x8,8,weight
299,8,0x8,8,weight
300,8,0x8,8,weight
301,8,0x8,8,weight
302,8,0x8,8,weight
303,8,0x8,8,weight
304,4,0x4,4,weight
305,4,0x4,4,weight
306,4,0x4,4,weight
307,4,0x4,4,weight
308,4,0x4,4,weight
309,4,0x4,4,weight
310,4,0x4,4,weight
311,4,0x4,4,weight
312,8,0x8,8,weight
313,8,0x8,8,weight
314,8,0x8,8,weight
315,8,0x8,8,weight
316,8,0x8,8,weight
317,8,0x8,8,weight
318,8,0x8,8,weight
319,8,0x8,8,weight
320,4,0x4,4,weight
321,4,0x4,4,weight
322,4,0x4,4,weight
323,4,0x4,4,weight
324,4,0x4,4,weight
325,4,0x4,4,weight
326,4,0x4,4,weight
327,4,0x4,4,weight
328,8,0x8,8,weight
329,8,0x8,8,weight
330,8,0x8,8,weight
331,8,0x8,8,weight
332,8,0x8,8,weight
333,8,0x8,8,weight
334,8,0x8,8,weight
335,8,0x8,8,weight
336,4,0x4,4,weight
337,4,0x4,4,weight
338,4,0x4,4,weight
339,4,0x4,4,weight
340,4,0x4,4,weight
341,4,0x4,4,weight
342,4,0x4,4,weight
343,4,0x4,4,weight
344,8,0x8,8,weight
345,8,0x8,8,weight
346,8,0x8,8,weight
347,8,0x8,8,weight
348,8,0x8,8,weight
349,8,0x8,8,weight
350,8,0x8,8,weight
351,8,0x8,8,weight
352,4,0x4,4,weight
353,4,0x4,4,weight
354,4,0x4,4,weight
355,4,0x4,4,weight
356,4,0x4,4,weight
357,4,0x4,4,weight
358,4,0x4,4,weight
359,4,0x4,4,weight
360,8,0x8,8,weight
361,8,0x8,8,weight
362,8,0x8,8,weight
363,8,0x8,8,weight
364,8,0x8,8,weight
365,8,0x8,8,weight
366,8,0x8,8,weight
367,8,0x8,8,weight
368,4,0x4,4,weight
369,4,0x4,4,weight
370,4,0x4,4,weight
371,4,0x4,4,weight
372,4,0x4,4,weight
373,4,0x4,4,weight
374,4,0x4,4,weight
375,4,0x4,4,weight
376,8,0x8,8,weight
377,8,0x8,8,weight
378,8,0x8,8,weight
379,8,0x8,8,weight
380,8,0x8,8,weight
381,8,0x8,8,weight
382,8,0x8,8,weight
383,8,0x8,8,weight
384,4,0x4,4,weight
385,4,0x4,4,weight
386,4,0x4,4,weight
387,4,0x4,4,weight
388,4,0x4,4,weight
389,4,0x4,4,weight
390,4,0x4,4,weight
391,4,0x4,4,weight
392,8,0x8,8,weight
393,8,0x8,8,weight
394,8,0x8,8,weight
395,8,0x8,8,weight
396,8,0x8,8,weight
397,8,0x8,8,weight
398,8,0x8,8,weight
399,8,0x8,8,weight
400,4,0x4,4,weight
401,4,0x4,4,weight
402,4,0x4,4,weight
403,4,0x4,4,weight
404,4,0x4,4,weight
405,4,0x4,4,weight
406,4,0x4,4,weight
407,4,0x4,4,weight
408,8,0x8,8,weight
409,8,0x8,8,weight
410,8,0x8,8,weight
411,8,0x8,8,weight
412,8,0x8,8,weight
413,8,0x8,8,weight
414,8,0x8,8,weight
415,8,0x8,8,weight
416,4,0x4,4,weight
417,4,0x4,4,weight
418,4,0x4,4,weight
419,4,0x4,4,weight
420,4,0x4,4,weight
421,4,0x4,4,weight
422,4,0x4,4,weight
423,4,0x4,4,weight
424,8,0x8,8,weight
425,8,0x8,8,weight
426,8,0x8,8,weight
427,8,0x8,8,weight
428,8,0x8,8,weight
429,8,0x8,8,weight
430,8,0x8,8,weight
431,8,0x8,8,weight
432,4,0x4,4,weight
433,4,0x4,4,weight
434,4,0x4,4,weight
435,4,0x4,4,weight
436,4,0x4,4,weight
437,4,0x4,4,weight
438,4,0x4,4,weight
439,4,0x4,4,weight
440,8,0x8,8,weight
441,8,0x8,8,weight
442,8,0x8,8,weight
443,8,0x8,8,weight
444,8,0x8,8,weight
445,8,0x8,8,weight
446,8,0x8,8,weight
447,8,0x8,8,weight
448,4,0x4,4,weight
449,4,0x4,4,weight
450,4,0x4,4,weight
451,4,0x4,4,weight
452,4,0x4,4,weight
453,4,0x4,4,weight
454,4,0x4,4,weight
455,4,0x4,4,weight
456,8,0x8,8,weight
457,8,0x8,8,weight
458,8,0x8,8,weight
459,8,0x8,8,weight
460,8,0x8,8,weight
461,8,0x8,8,weight
462,8,0x8,8,weight
463,8,0x8,8,weight
464,4,0x4,4,weight
465,4,0x4,4,weight
466,4,0x4,4,weight
467,4,0x4,4,weight
468,4,0x4,4,weight
469,4,0x4,4,weight
470,4,0x4,4,weight
471,4,0x4,4,weight
472,8,0x8,8,weight
473,8,0x8,8,weight
474,8,0x8,8,weight
475,8,0x8,8,weight
476,8,0x8,8,weight
477,8,0x8,8,weight
478,8,0x8,8,weight
479,8,0x8,8,weight
480,4,0x4,4,weight
481,4,0x4,4,weight
482,4,0x4,4,weight
483,4,0x4,4,weight
484,4,0x4,4,weight
485,4,0x4,4,weight
486,4,0x4,4,weight
487,4,0x4,4,weight
488,8,0x8,8,weight
489,8,0x8,8,weight
490,8,0x8,8,weight
491,8,0x8,8,weight
492,8,0x8,8,weight
493,8,0x8,8,weight
494,8,0x8,8,weight
495,8,0x8,8,weight
496,4,0x4,4,weight
497,4,0x4,4,weight
498,4,0x4,4,weight
499,4,0x4,4,weight
500,4,0x4,4,weight
501,4,0x4,4,weight
502,4,0x4,4,weight
503,4,0x4,4,weight
504,8,0x8,8,weight
505,8,0x8,8,weight
506,8,0x8,8,weight
507,8,0x8,8,weight
508,8,0x8,8,weight
509,8,0x8,8,weight
510,8,0x8,8,weight
511,8,0x8,8,weight
512,1,0x1,1,weight
513,1,0x1,1,weight
514,1,0x1,1,weight
515,1,0x1,1,weight
516,1,0x1,1,weight
517,1,0x1,1,weight
518,1,0x1,1,weight
519,1,0x1,1,weight
520,2,0x2,2,weight
521,2,0x2,2,weight
522,2,0x2,2,weight
523,2,0x2,2,weight
524,2,0x2,2,weight
525,2,0x2,2,weight
526,2,0x2,2,weight
527,2,0x2,2,weight
528,1,0x1,1,weight
529,1,0x1,1,weight
530,1,0x1,1,weight
531,1,0x1,1,weight
532,1,0x1,1,weight
533,1,0x1,1,weight
534,1,0x1,1,weight
535,1,0x1,1,weight
536,2,0x2,2,weight
537,2,0x2,2,weight
538,2,0x2,2,weight
539,2,0x2,2,weight
540,2,0x2,2,weight
541,2,0x2,2,weight
542,2,0x2,2,weight
543,2,0x2,2,weight
544,1,0x1,1,weight
545,1,0x1,1,weight
546,1,0x1,1,weight
547,1,0x1,1,weight
548,1,0x1,1,weight
549,1,0x1,1,weight
550,1,0x1,1,weight
551,1,0x1,1,weight
552,2,0x2,2,weight
553,2,0x2,2,weight
554,2,0x2,2,weight
555,2,0x2,2,weight
556,2,0x2,2,weight
557,2,0x2,2,weight
558,2,0x2,2,weight
559,2,0x2,2,weight
560,1,0x1,1,weight
561,1,0x1,1,weight
562,1,0x1,1,weight
563,1,0x1,1,weight
564,1,0x1,1,weight
565,1,0x1,1,weight
566,1,0x1,1,weight
567,1,0x1,1,weight
568,2,0x2,2,weight
569,2,0x2,2,weight
570,2,0x2,2,weight
571,2,0x2,2,weight
572,2,0x2,2,weight
573,2,0x2,2,weight
574,2,0x2,2,weight
575,2,0x2,2,weight
576,1,0x1,1,weight
577,1,0x1,1,weight
578,1,0x1,1,weight
579,1,0x1,1,weight
580,1,0x1,1,weight
581,1,0x1,1,weight
582,1,0x1,1,weight
583,1,0x1,1,weight
584,2,0x2,2,weight
585,2,0x2,2,weight
586,2,0x2,2,weight
587,2,0x2,2,weight
588,2,0x2,2,weight
589,2,0x2,2,weight
590,2,0x2,2,weight
591,2,0x2,2,weight
592,1,0x1,1,weight
593,1,0x1,1,weight
594,1,0x1,1,weight
595,1,0x1,1,weight
596,1,0x1,1,weight
597,1,0x1,1,weight
598,1,0x1,1,weight
599,1,0x1,1,weight
600,2,0x2,2,weight
601,2,0x2,2,weight
602,2,0x2,2,weight
603,2,0x2,2,weight
604,2,0x2,2,weight
605,2,0x2,2,weight
606,2,0x2,2,weight
607,2,0x2,2,weight
608,1,0x1,1,weight
609,1,0x1,1,weight
610,1,0x1,1,weight
611,1,0x1,1,weight
612,1,0x1,1,weight
613,1,0x1,1,weight
614,1,0x1,1,weight
615,1,0x1,1,weight
616,2,0x2,2,weight
617,2,0x2,2,weight
618,2,0x2,2,weight
619,2,0x2,2,weight
620,2,0x2,2,weight
621,2,0x2,2,weight
622,2,0x2,2,weight
623,2,0x2,2,weight
624,1,0x1,1,weight
625,1,0x1,1,weight
626,1,0x1,1,weight
627,1,0x1,1,weight
628,1,0x1,1,weight
629,1,0x1,1,weight
630,1,0x1,1,weight
631,1,0x1,1,weight
632,2,0x2,2,weight
633,2,0x2,2,weight
634,2,0x2,2,weight
635,2,0x2,2,weight
636,2,0x2,2,weight
637,2,0x2,2,weight
638,2,0x2,2,weight
639,2,0x2,2,weight
640,1,0x1,1,weight
641,1,0x1,1,weight
642,1,0x1,1,weight
643,1,0x1,1,weight
644,1,0x1,1,weight
645,1,0x1,1,weight
646,1,0x1,1,weight
647,1,0x1,1,weight
648,2,0x2,2,weight
649,2,0x2,2,weight
650,2,0x2,2,weight
651,2,0x2,2,weight
652,2,0x2,2,weight
653,2,0x2,2,weight
654,2,0x2,2,weight
655,2,0x2,2,weight
656,1,0x1,1,weight
657,1,0x1,1,weight
658,1,0x1,1,weight
659,1,0x1,1,weight
660,1,0x1,1,weight
661,1,0x1,1,weight
662,1,0x1,1,weight
663,1,0x1,1,weight
664,2,0x2,2,weight
665,2,0x2,2,weight
666,2,0x2,2,weight
667,2,0x2,2,weight
668,2,0x2,2,weight
669,2,0x2,2,weight
670,2,0x2,2,weight
671,2,0x2,2,weight
672,1,0x1,1,weight
673,1,0x1,1,weight
674,1,0x1,1,weight
675,1,0x1,1,weight
676,1,0x1,1,weight
677,1,0x1,1,weight
678,1,0x1,1,weight
679,1,0x1,1,weight
680,2,0x2,2,weight
681,2,0x2,2,weight
682,2,0x2,2,weight
683,2,0x2,2,weight
684,2,0x2,2,weight
685,2,0x2,2,weight
686,2,0x2,2,weight
687,2,0x2,2,weight
688,1,0x1,1,weight
689,1,0x1,1,weight
690,1,0x1,1,weight
691,1,0x1,1,weight
692,1,0x1,1,weight
693,1,0x1,1,weight
694,1,0x1,1,weight
695,1,0x1,1,weight
696,2,0x2,2,weight
697,2,0x2,2,weight
698,2,0x2,2,weight
699,2,0x2,2,weight
700,2,0x2,2,weight
701,2,0x2,2,weight
702,2,0x2,2,weight
703,2,0x2,2,weight
704,1,0x1,1,weight
705,1,0x1,1,weight
706,1,0x1,1,weight
707,1,0x1,1,weight
708,1,0x1,1,weight
709,1,0x1,1,weight
710,1,0x1,1,weight
711,1,0x1,1,weight
712,2,0x2,2,weight
713,2,0x2,2,weight
714,2,0x2,2,weight
715,2,0x2,2,weight
716,2,0x2,2,weight
717,2,0x2,2,weight
718,2,0x2,2,weight
719,2,0x2,2,weight
720,1,0x1,1,weight
721,1,0x1,1,weight
722,1,0x1,1,weight
723,1,0x1,1,weight
724,1,0x1,1,weight
725,1,0x1,1,weight
726,1,0x1,1,weight
727,1,0x1,1,weight
728,2,0x2,2,weight
729,2,0x2,2,weight
730,2,0x2,2,weight
731,2,0x2,2,weight
732,2,0x2,2,weight
733,2,0x2,2,weight
734,2,0x2,2,weight
735,2,0x2,2,weight
736,1,0x1,1,weight
737,1,0x1,1,weight
738,1,0x1,1,weight
739,1,0x1,1,weight
740,1,0x1,1,weight
741,1,0x1,1,weight
742,1,0x1,1,weight
743,1,0x1,1,weight
744,2,0x2,2,weight
745,2,0x2,2,weight
746,2,0x2,2,weight
747,2,0x2,2,weight
748,2,0x2,2,weight
749,2,0x2,2,weight
750,2,0x2,2,weight
751,2,0x2,2,weight
752,1,0x1,1,weight
753,1,0x1,1,weight
754,1,0x1,1,weight
755,1,0x1,1,weight
756,1,0x1,1,weight
757,1,0x1,1,weight
758,1,0x1,1,weight
759,1,0x1,1,weight
760,2,0x2,2,weight
761,2,0x2,2,weight
762,2,0x2,2,weight
763,2,0x2,2,weight
764,2,0x2,2,weight
765,2,0x2,2,weight
766,2,0x2,2,weight
767,2,0x2,2,weight
768,1,0x1,1,weight
769,1,0x1,1,weight
770,1,0x1,1,weight
771,1,0x1,1,weight
772,1,0x1,1,weight
773,1,0x1,1,weight
774,1,0x1,1,weight
775,1,0x1,1,weight
776,2,0x2,2,weight
777,2,0x2,2,weight
778,2,0x2,2,weight
779,2,0x2,2,weight
780,2,0x2,2,weight
781,2,0x2,2,weight
782,2,0x2,2,weight
783,2,0x2,2,weight
784,1,0x1,1,weight
785,1,0x1,1,weight
786,1,0x1,1,weight
787,1,0x1,1,weight
788,1,0x1,1,weight
789,1,0x1,1,weight
790,1,0x1,1,weight
791,1,0x1,1,weight
792,2,0x2,2,weight
793,2,0x2,2,weight
794,2,0x2,2,weight
795,2,0x2,2,weight
796,2,0x2,2,weight
797,2,0x2,2,weight
798,2,0x2,2,weight
799,2,0x2,2,weight
800,1,0x1,1,weight
801,1,0x1,1,weight
802,1,0x1,1,weight
803,1,0x1,1,weight
804,1,0x1,1,weight
805,1,0x1,1,weight
806,1,0x1,1,weight
807,1,0x1,1,weight
808,2,0x2,2,weight
809,2,0x2,2,weight
810,2,0x2,2,weight
811,2,0x2,2,weight
812,2,0x2,2,weight
813,2,0x2,2,weight
814,2,0x2,2,weight
815,2,0x2,2,weight
816,1,0x1,1,weight
817,1,0x1,1,weight
818,1,0x1,1,weight
819,1,0x1,1,weight
820,1,0x1,1,weight
821,1,0x1,1,weight
822,1,0x1,1,weight
823,1,0x1,1,weight
824,2,0x2,2,weight
825,2,0x2,2,weight
826,2,0x2,2,weight
827,2,0x2,2,weight
828,2,0x2,2,weight
829,2,0x2,2,weight
830,2,0x2,2,weight
831,2,0x2,2,weight
832,1,0x1,1,weight
833,1,0x1,1,weight
834,1,0x1,1,weight
835,1,0x1,1,weight
836,1,0x1,1,weight
837,1,0x1,1,weight
838,1,0x1,1,weight
839,1,0x1,1,weight
840,2,0x2,2,weight
841,2,0x2,2,weight
842,2,0x2,2,weight
843,2,0x2,2,weight
844,2,0x2,2,weight
845,2,0x2,2,weight
846,2,0x2,2,weight
847,2,0x2,2,weight
848,1,0x1,1,weight
849,1,0x1,1,weight
850,1,0x1,1,weight
851,1,0x1,1,weight
852,1,0x1,1,weight
853,1,0x1,1,weight
854,1,0x1,1,weight
855,1,0x1,1,weight
856,2,0x2,2,weight
857,2,0x2,2,weight
858,2,0x2,2,weight
859,2,0x2,2,weight
860,2,0x2,2,weight
861,2,0x2,2,weight
862,2,0x2,2,weight
863,2,0x2,2,weight
864,1,0x1,1,weight
865,1,0x1,1,weight
866,1,0x1,1,weight
867,1,0x1,1,weight
868,1,0x1,1,weight
869,1,0x1,1,weight
870,1,0x1,1,weight
871,1,0x1,1,weight
872,2,0x2,2,weight
873,2,0x2,2,weight
874,2,0x2,2,weight
875,2,0x2,2,weight
876,2,0x2,2,weight
877,2,0x2,2,weight
878,2,0x2,2,weight
879,2,0x2,2,weight
880,1,0x1,1,weight
881,1,0x1,1,weight
882,1,0x1,1,weight
883,1,0x1,1,weight
884,1,0x1,1,weight
885,1,0x1,1,weight
886,1,0x1,1,weight
887,1,0x1,1,weight
888,2,0x2,2,weight
889,2,0x2,2,weight
890,2,0x2,2,weight
891,2,0x2,2,weight
892,2,0x2,2,weight
893,2,0x2,2,weight
894,2,0x2,2,weight
895,2,0x2,2,weight
896,1,0x1,1,weight
897,1,0x1,1,weight
898,1,0x1,1,weight
899,1,0x1,1,weight
900,1,0x1,1,weight
901,1,0x1,1,weight
902,1,0x1,1,weight
903,1,0x1,1,weight
904,2,0x2,2,weight
905,2,0x2,2,weight
906,2,0x2,2,weight
907,2,0x2,2,weight
908,2,0x2,2,weight
909,2,0x2,2,weight
910,2,0x2,2,weight
911,2,0x2,2,weight
912,1,0x1,1,weight
913,1,0x1,1,weight
914,1,0x1,1,weight
915,1,0x1,1,weight
916,1,0x1,1,weight
917,1,0x1,1,weight
918,1,0x1,1,weight
919,1,0x1,1,weight
920,2,0x2,2,weight
921,2,0x2,2,weight
922,2,0x2,2,weight
923,2,0x2,2,weight
924,2,0x2,2,weight
925,2,0x2,2,weight
926,2,0x2,2,weight
927,2,0x2,2,weight
928,1,0x1,1,weight
929,1,0x1,1,weight
930,1,0x1,1,weight
931,1,0x1,1,weight
932,1,0x1,1,weight
933,1,0x1,1,weight
934,1,0x1,1,weight
935,1,0x1,1,weight
936,2,0x2,2,weight
937,2,0x2,2,weight
938,2,0x2,2,weight
939,2,0x2,2,weight
940,2,0x2,2,weight
941,2,0x2,2,weight
942,2,0x2,2,weight
943,2,0x2,2,weight
944,1,0x1,1,weight
945,1,0x1,1,weight
946,1,0x1,1,weight
947,1,0x1,1,weight
948,1,0x1,1,weight
949,1,0x1,1,weight
950,1,0x1,1,weight
951,1,0x1,1,weight
952,2,0x2,2,weight
953,2,0x2,2,weight
954,2,0x2,2,weight
955,2,0x2,2,weight
956,2,0x2,2,weight
957,2,0x2,2,weight
958,2,0x2,2,weight
959,2,0x2,2,weight
960,1,0x1,1,weight
961,1,0x1,1,weight
962,1,0x1,1,weight
963,1,0x1,1,weight
964,1,0x1,1,weight
965,1,0x1,1,weight
966,1,0x1,1,weight
967,1,0x1,1,weight
968,2,0x2,2,weight
969,2,0x2,2,weight
970,2,0x2,2,weight
971,2,0x2,2,weight
972,2,0x2,2,weight
973,2,0x2,2,weight
974,2,0x2,2,weight
975,2,0x2,2,weight
976,1,0x1,1,weight
977,1,0x1,1,weight
978,1,0x1,1,weight
979,1,0x1,1,weight
980,1,0x1,1,weight
981,1,0x1,1,weight
982,1,0x1,1,weight
983,1,0x1,1,weight
984,2,0x2,2,weight
985,2,0x2,2,weight
986,2,0x2,2,weight
987,2,0x2,2,weight
988,2,0x2,2,weight
989,2,0x2,2,weight
990,2,0x2,2,weight
991,2,0x2,2,weight
992,1,0x1,1,weight
993,1,0x1,1,weight
994,1,0x1,1,weight
995,1,0x1,1,weight
996,1,0x1,1,weight
997,1,0x1,1,weight
998,1,0x1,1,weight
999,1,0x1,1,weight
1000,2,0x2,2,weight
1001,2,0x2,2,weight
1002,2,0x2,2,weight
1003,2,0x2,2,weight
1004,2,0x2,2,weight
1005,2,0x2,2,weight
1006,2,0x2,2,weight
1007,2,0x2,2,weight
1008,1,0x1,1,weight
1009,1,0x1,1,weight
1010,1,0x1,1,weight
1011,1,0x1,1,weight
1012,1,0x1,1,weight
1013,1,0x1,1,weight
1014,1,0x1,1,weight
1015,1,0x1,1,weight
1016,2,0x2,2,weight
1017,2,0x2,2,weight
1018,2,0x2,2,weight
1019,2,0x2,2,weight
1020,2,0x2,2,weight
1021,2,0x2,2,weight
1022,2,0x2,2,weight
1023,2,0x2,2,weight
1024,128,0x80,-128,scale_factor_byte
1025,62,0x3e,62,scale_factor_byte
1026,0,0x0,0,scale_factor_byte
1027,62,0x3e,62,scale_factor_byte
1028,128,0x80,-128,scale_factor_byte
1029,62,0x3e,62,scale_factor_byte
1030,0,0x0,0,scale_factor_byte
1031,62,0x3e,62,scale_factor_byte
1032,128,0x80,-128,scale_factor_byte
1033,62,0x3e,62,scale_factor_byte
1034,0,0x0,0,scale_factor_byte
1035,62,0x3e,62,scale_factor_byte
1036,128,0x80,-128,scale_factor_byte
1037,62,0x3e,62,scale_factor_byte
1038,0,0x0,0,scale_factor_byte
1039,62,0x3e,62,scale_factor_byte
1040,128,0x80,-128,scale_factor_byte
1041,62,0x3e,62,scale_factor_byte
1042,0,0x0,0,scale_factor_byte
1043,62,0x3e,62,scale_factor_byte
1044,128,0x80,-128,scale_factor_byte
1045,62,0x3e,62,scale_factor_byte
1046,0,0x0,0,scale_factor_byte
1047,62,0x3e,62,scale_factor_byte
1048,128,0x80,-128,scale_factor_byte
1049,62,0x3e,62,scale_factor_byte
1050,0,0x0,0,scale_factor_byte
