# BVec Structured Data (Tile Organization)
# Large tiles: 256
# Each large tile: 1024 weights + 32 scale factors
# Format: tile_type,large_tile_idx,small_tile_idx,element_idx,value
# Large Tile 0 (row=0, col=0)
weight,0,1,27,8
weight,0,1,28,8
weight,0,1,29,8
weight,0,1,30,8
weight,0,1,31,8
weight,0,1,32,4
weight,0,1,33,4
weight,0,1,34,4
weight,0,1,35,4
weight,0,1,36,4
weight,0,1,37,4
weight,0,1,38,4
weight,0,1,39,4
weight,0,1,40,8
weight,0,1,41,8
weight,0,1,42,8
weight,0,1,43,8
weight,0,1,44,8
weight,0,1,45,8
weight,0,1,46,8
weight,0,1,47,8
weight,0,1,48,4
weight,0,1,49,4
weight,0,1,50,4
weight,0,1,51,4
weight,0,1,52,4
weight,0,1,53,4
weight,0,1,54,4
weight,0,1,55,4
weight,0,1,56,8
weight,0,1,57,8
weight,0,1,58,8
weight,0,1,59,8
weight,0,1,60,8
weight,0,1,61,8
weight,0,1,62,8
weight,0,1,63,8
weight,0,2,0,4
weight,0,2,1,4
weight,0,2,2,4
weight,0,2,3,4
weight,0,2,4,4
weight,0,2,5,4
weight,0,2,6,4
weight,0,2,7,4
weight,0,2,8,8
weight,0,2,9,8
weight,0,2,10,8
weight,0,2,11,8
weight,0,2,12,8
weight,0,2,13,8
weight,0,2,14,8
weight,0,2,15,8
weight,0,2,16,4
weight,0,2,17,4
weight,0,2,18,4
weight,0,2,19,4
weight,0,2,20,4
weight,0,2,21,4
weight,0,2,22,4
weight,0,2,23,4
weight,0,2,24,8
weight,0,2,25,8
weight,0,2,26,8
weight,0,2,27,8
weight,0,2,28,8
weight,0,2,29,8
weight,0,2,30,8
weight,0,2,31,8
weight,0,2,32,4
weight,0,2,33,4
weight,0,2,34,4
weight,0,2,35,4
weight,0,2,36,4
weight,0,2,37,4
weight,0,2,38,4
weight,0,2,39,4
weight,0,2,40,8
weight,0,2,41,8
weight,0,2,42,8
weight,0,2,43,8
weight,0,2,44,8
weight,0,2,45,8
weight,0,2,46,8
weight,0,2,47,8
weight,0,2,48,4
weight,0,2,49,4
weight,0,2,50,4
weight,0,2,51,4
weight,0,2,52,4
weight,0,2,53,4
weight,0,2,54,4
weight,0,2,55,4
weight,0,2,56,8
weight,0,2,57,8
weight,0,2,58,8
weight,0,2,59,8
weight,0,2,60,8
weight,0,2,61,8
weight,0,2,62,8
weight,0,2,63,8
weight,0,3,0,4
weight,0,3,1,4
weight,0,3,2,4
weight,0,3,3,4
weight,0,3,4,4
weight,0,3,5,4
weight,0,3,6,4
weight,0,3,7,4
weight,0,3,8,8
weight,0,3,9,8
weight,0,3,10,8
weight,0,3,11,8
weight,0,3,12,8
weight,0,3,13,8
weight,0,3,14,8
weight,0,3,15,8
weight,0,3,16,4
weight,0,3,17,4
weight,0,3,18,4
weight,0,3,19,4
weight,0,3,20,4
weight,0,3,21,4
weight,0,3,22,4
weight,0,3,23,4
weight,0,3,24,8
weight,0,3,25,8
weight,0,3,26,8
weight,0,3,27,8
weight,0,3,28,8
weight,0,3,29,8
weight,0,3,30,8
weight,0,3,31,8
weight,0,3,32,4
weight,0,3,33,4
weight,0,3,34,4
weight,0,3,35,4
weight,0,3,36,4
weight,0,3,37,4
weight,0,3,38,4
weight,0,3,39,4
weight,0,3,40,8
weight,0,3,41,8
weight,0,3,42,8
weight,0,3,43,8
weight,0,3,44,8
weight,0,3,45,8
weight,0,3,46,8
weight,0,3,47,8
weight,0,3,48,4
weight,0,3,49,4
weight,0,3,50,4
weight,0,3,51,4
weight,0,3,52,4
weight,0,3,53,4
weight,0,3,54,4
weight,0,3,55,4
weight,0,3,56,8
weight,0,3,57,8
weight,0,3,58,8
weight,0,3,59,8
weight,0,3,60,8
weight,0,3,61,8
weight,0,3,62,8
weight,0,3,63,8
weight,0,4,0,4
weight,0,4,1,4
weight,0,4,2,4
weight,0,4,3,4
weight,0,4,4,4
weight,0,4,5,4
weight,0,4,6,4
weight,0,4,7,4
weight,0,4,8,8
weight,0,4,9,8
weight,0,4,10,8
weight,0,4,11,8
weight,0,4,12,8
weight,0,4,13,8
weight,0,4,14,8
weight,0,4,15,8
weight,0,4,16,4
weight,0,4,17,4
weight,0,4,18,4
weight,0,4,19,4
weight,0,4,20,4
weight,0,4,21,4
weight,0,4,22,4
weight,0,4,23,4
weight,0,4,24,8
weight,0,4,25,8
weight,0,4,26,8
weight,0,4,27,8
weight,0,4,28,8
weight,0,4,29,8
weight,0,4,30,8
weight,0,4,31,8
weight,0,4,32,4
weight,0,4,33,4
weight,0,4,34,4
weight,0,4,35,4
weight,0,4,36,4
weight,0,4,37,4
weight,0,4,38,4
weight,0,4,39,4
weight,0,4,40,8
weight,0,4,41,8
weight,0,4,42,8
weight,0,4,43,8
weight,0,4,44,8
weight,0,4,45,8
weight,0,4,46,8
weight,0,4,47,8
weight,0,4,48,4
weight,0,4,49,4
weight,0,4,50,4
weight,0,4,51,4
weight,0,4,52,4
weight,0,4,53,4
weight,0,4,54,4
weight,0,4,55,4
weight,0,4,56,8
weight,0,4,57,8
weight,0,4,58,8
weight,0,4,59,8
weight,0,4,60,8
weight,0,4,61,8
weight,0,4,62,8
weight,0,4,63,8
weight,0,5,0,4
weight,0,5,1,4
weight,0,5,2,4
weight,0,5,3,4
weight,0,5,4,4
weight,0,5,5,4
weight,0,5,6,4
weight,0,5,7,4
weight,0,5,8,8
weight,0,5,9,8
weight,0,5,10,8
weight,0,5,11,8
weight,0,5,12,8
weight,0,5,13,8
weight,0,5,14,8
weight,0,5,15,8
weight,0,5,16,4
weight,0,5,17,4
weight,0,5,18,4
weight,0,5,19,4
weight,0,5,20,4
weight,0,5,21,4
weight,0,5,22,4
weight,0,5,23,4
weight,0,5,24,8
weight,0,5,25,8
weight,0,5,26,8
weight,0,5,27,8
weight,0,5,28,8
weight,0,5,29,8
weight,0,5,30,8
weight,0,5,31,8
weight,0,5,32,4
weight,0,5,33,4
weight,0,5,34,4
weight,0,5,35,4
weight,0,5,36,4
weight,0,5,37,4
weight,0,5,38,4
weight,0,5,39,4
weight,0,5,40,8
weight,0,5,41,8
weight,0,5,42,8
weight,0,5,43,8
weight,0,5,44,8
weight,0,5,45,8
weight,0,5,46,8
weight,0,5,47,8
weight,0,5,48,4
weight,0,5,49,4
weight,0,5,50,4
weight,0,5,51,4
weight,0,5,52,4
weight,0,5,53,4
weight,0,5,54,4
weight,0,5,55,4
weight,0,5,56,8
weight,0,5,57,8
weight,0,5,58,8
weight,0,5,59,8
weight,0,5,60,8
weight,0,5,61,8
weight,0,5,62,8
weight,0,5,63,8
weight,0,6,0,4
weight,0,6,1,4
weight,0,6,2,4
weight,0,6,3,4
weight,0,6,4,4
weight,0,6,5,4
weight,0,6,6,4
weight,0,6,7,4
weight,0,6,8,8
weight,0,6,9,8
weight,0,6,10,8
weight,0,6,11,8
weight,0,6,12,8
weight,0,6,13,8
weight,0,6,14,8
weight,0,6,15,8
weight,0,6,16,4
weight,0,6,17,4
weight,0,6,18,4
weight,0,6,19,4
weight,0,6,20,4
weight,0,6,21,4
weight,0,6,22,4
weight,0,6,23,4
weight,0,6,24,8
weight,0,6,25,8
weight,0,6,26,8
weight,0,6,27,8
weight,0,6,28,8
weight,0,6,29,8
weight,0,6,30,8
weight,0,6,31,8
weight,0,6,32,4
weight,0,6,33,4
weight,0,6,34,4
weight,0,6,35,4
weight,0,6,36,4
weight,0,6,37,4
weight,0,6,38,4
weight,0,6,39,4
weight,0,6,40,8
weight,0,6,41,8
weight,0,6,42,8
weight,0,6,43,8
weight,0,6,44,8
weight,0,6,45,8
weight,0,6,46,8
weight,0,6,47,8
weight,0,6,48,4
weight,0,6,49,4
weight,0,6,50,4
weight,0,6,51,4
weight,0,6,52,4
weight,0,6,53,4
weight,0,6,54,4
weight,0,6,55,4
weight,0,6,56,8
weight,0,6,57,8
weight,0,6,58,8
weight,0,6,59,8
weight,0,6,60,8
weight,0,6,61,8
weight,0,6,62,8
weight,0,6,63,8
weight,0,7,0,4
weight,0,7,1,4
weight,0,7,2,4
weight,0,7,3,4
weight,0,7,4,4
weight,0,7,5,4
weight,0,7,6,4
weight,0,7,7,4
weight,0,7,8,8
weight,0,7,9,8
weight,0,7,10,8
weight,0,7,11,8
weight,0,7,12,8
weight,0,7,13,8
weight,0,7,14,8
weight,0,7,15,8
weight,0,7,16,4
weight,0,7,17,4
weight,0,7,18,4
weight,0,7,19,4
weight,0,7,20,4
weight,0,7,21,4
weight,0,7,22,4
weight,0,7,23,4
weight,0,7,24,8
weight,0,7,25,8
weight,0,7,26,8
weight,0,7,27,8
weight,0,7,28,8
weight,0,7,29,8
weight,0,7,30,8
weight,0,7,31,8
weight,0,7,32,4
weight,0,7,33,4
weight,0,7,34,4
weight,0,7,35,4
weight,0,7,36,4
weight,0,7,37,4
weight,0,7,38,4
weight,0,7,39,4
weight,0,7,40,8
weight,0,7,41,8
weight,0,7,42,8
weight,0,7,43,8
weight,0,7,44,8
weight,0,7,45,8
weight,0,7,46,8
weight,0,7,47,8
weight,0,7,48,4
weight,0,7,49,4
weight,0,7,50,4
weight,0,7,51,4
weight,0,7,52,4
weight,0,7,53,4
weight,0,7,54,4
weight,0,7,55,4
weight,0,7,56,8
weight,0,7,57,8
weight,0,7,58,8
weight,0,7,59,8
weight,0,7,60,8
weight,0,7,61,8
weight,0,7,62,8
weight,0,7,63,8
weight,0,8,0,1
weight,0,8,1,1
weight,0,8,2,1
weight,0,8,3,1
weight,0,8,4,1
weight,0,8,5,1
weight,0,8,6,1
weight,0,8,7,1
weight,0,8,8,2
weight,0,8,9,2
weight,0,8,10,2
weight,0,8,11,2
weight,0,8,12,2
weight,0,8,13,2
weight,0,8,14,2
weight,0,8,15,2
weight,0,8,16,1
weight,0,8,17,1
weight,0,8,18,1
weight,0,8,19,1
weight,0,8,20,1
weight,0,8,21,1
weight,0,8,22,1
weight,0,8,23,1
weight,0,8,24,2
weight,0,8,25,2
weight,0,8,26,2
weight,0,8,27,2
weight,0,8,28,2
weight,0,8,29,2
weight,0,8,30,2
weight,0,8,31,2
weight,0,8,32,1
weight,0,8,33,1
weight,0,8,34,1
weight,0,8,35,1
weight,0,8,36,1
weight,0,8,37,1
weight,0,8,38,1
weight,0,8,39,1
weight,0,8,40,2
weight,0,8,41,2
weight,0,8,42,2
weight,0,8,43,2
weight,0,8,44,2
weight,0,8,45,2
weight,0,8,46,2
weight,0,8,47,2
weight,0,8,48,1
weight,0,8,49,1
weight,0,8,50,1
weight,0,8,51,1
weight,0,8,52,1
weight,0,8,53,1
weight,0,8,54,1
weight,0,8,55,1
weight,0,8,56,2
weight,0,8,57,2
weight,0,8,58,2
weight,0,8,59,2
weight,0,8,60,2
weight,0,8,61,2
weight,0,8,62,2
weight,0,8,63,2
weight,0,9,0,1
weight,0,9,1,1
weight,0,9,2,1
weight,0,9,3,1
weight,0,9,4,1
weight,0,9,5,1
weight,0,9,6,1
weight,0,9,7,1
weight,0,9,8,2
weight,0,9,9,2
weight,0,9,10,2
weight,0,9,11,2
weight,0,9,12,2
weight,0,9,13,2
weight,0,9,14,2
weight,0,9,15,2
weight,0,9,16,1
weight,0,9,17,1
weight,0,9,18,1
weight,0,9,19,1
weight,0,9,20,1
weight,0,9,21,1
weight,0,9,22,1
weight,0,9,23,1
weight,0,9,24,2
weight,0,9,25,2
weight,0,9,26,2
weight,0,9,27,2
weight,0,9,28,2
weight,0,9,29,2
weight,0,9,30,2
weight,0,9,31,2
weight,0,9,32,1
weight,0,9,33,1
weight,0,9,34,1
weight,0,9,35,1
weight,0,9,36,1
weight,0,9,37,1
weight,0,9,38,1
weight,0,9,39,1
weight,0,9,40,2
weight,0,9,41,2
weight,0,9,42,2
weight,0,9,43,2
weight,0,9,44,2
weight,0,9,45,2
weight,0,9,46,2
weight,0,9,47,2
weight,0,9,48,1
weight,0,9,49,1
weight,0,9,50,1
weight,0,9,51,1
weight,0,9,52,1
weight,0,9,53,1
weight,0,9,54,1
weight,0,9,55,1
weight,0,9,56,2
weight,0,9,57,2
weight,0,9,58,2
weight,0,9,59,2
weight,0,9,60,2
weight,0,9,61,2
weight,0,9,62,2
weight,0,9,63,2
weight,0,10,0,1
weight,0,10,1,1
weight,0,10,2,1
weight,0,10,3,1
weight,0,10,4,1
weight,0,10,5,1
weight,0,10,6,1
weight,0,10,7,1
weight,0,10,8,2
weight,0,10,9,2
weight,0,10,10,2
weight,0,10,11,2
weight,0,10,12,2
weight,0,10,13,2
weight,0,10,14,2
weight,0,10,15,2
weight,0,10,16,1
weight,0,10,17,1
weight,0,10,18,1
weight,0,10,19,1
weight,0,10,20,1
weight,0,10,21,1
weight,0,10,22,1
weight,0,10,23,1
weight,0,10,24,2
weight,0,10,25,2
weight,0,10,26,2
weight,0,10,27,2
weight,0,10,28,2
weight,0,10,29,2
weight,0,10,30,2
weight,0,10,31,2
weight,0,10,32,1
weight,0,10,33,1
weight,0,10,34,1
weight,0,10,35,1
weight,0,10,36,1
weight,0,10,37,1
weight,0,10,38,1
weight,0,10,39,1
weight,0,10,40,2
weight,0,10,41,2
weight,0,10,42,2
weight,0,10,43,2
weight,0,10,44,2
weight,0,10,45,2
weight,0,10,46,2
weight,0,10,47,2
weight,0,10,48,1
weight,0,10,49,1
weight,0,10,50,1
weight,0,10,51,1
weight,0,10,52,1
weight,0,10,53,1
weight,0,10,54,1
weight,0,10,55,1
weight,0,10,56,2
weight,0,10,57,2
weight,0,10,58,2
weight,0,10,59,2
weight,0,10,60,2
weight,0,10,61,2
weight,0,10,62,2
weight,0,10,63,2
weight,0,11,0,1
weight,0,11,1,1
weight,0,11,2,1
weight,0,11,3,1
weight,0,11,4,1
weight,0,11,5,1
weight,0,11,6,1
weight,0,11,7,1
weight,0,11,8,2
weight,0,11,9,2
weight,0,11,10,2
weight,0,11,11,2
weight,0,11,12,2
weight,0,11,13,2
weight,0,11,14,2
weight,0,11,15,2
weight,0,11,16,1
weight,0,11,17,1
weight,0,11,18,1
weight,0,11,19,1
weight,0,11,20,1
weight,0,11,21,1
weight,0,11,22,1
weight,0,11,23,1
weight,0,11,24,2
weight,0,11,25,2
weight,0,11,26,2
weight,0,11,27,2
weight,0,11,28,2
weight,0,11,29,2
weight,0,11,30,2
weight,0,11,31,2
weight,0,11,32,1
weight,0,11,33,1
weight,0,11,34,1
weight,0,11,35,1
weight,0,11,36,1
weight,0,11,37,1
weight,0,11,38,1
weight,0,11,39,1
weight,0,11,40,2
weight,0,11,41,2
weight,0,11,42,2
weight,0,11,43,2
weight,0,11,44,2
weight,0,11,45,2
weight,0,11,46,2
weight,0,11,47,2
weight,0,11,48,1
weight,0,11,49,1
weight,0,11,50,1
weight,0,11,51,1
weight,0,11,52,1
weight,0,11,53,1
weight,0,11,54,1
weight,0,11,55,1
weight,0,11,56,2
weight,0,11,57,2
weight,0,11,58,2
weight,0,11,59,2
weight,0,11,60,2
weight,0,11,61,2
weight,0,11,62,2
weight,0,11,63,2
weight,0,12,0,1
weight,0,12,1,1
weight,0,12,2,1
weight,0,12,3,1
weight,0,12,4,1
weight,0,12,5,1
weight,0,12,6,1
weight,0,12,7,1
weight,0,12,8,2
weight,0,12,9,2
weight,0,12,10,2
weight,0,12,11,2
weight,0,12,12,2
weight,0,12,13,2
weight,0,12,14,2
weight,0,12,15,2
weight,0,12,16,1
weight,0,12,17,1
weight,0,12,18,1
weight,0,12,19,1
weight,0,12,20,1
weight,0,12,21,1
weight,0,12,22,1
weight,0,12,23,1
weight,0,12,24,2
weight,0,12,25,2
weight,0,12,26,2
weight,0,12,27,2
weight,0,12,28,2
weight,0,12,29,2
weight,0,12,30,2
weight,0,12,31,2
weight,0,12,32,1
weight,0,12,33,1
weight,0,12,34,1
weight,0,12,35,1
weight,0,12,36,1
weight,0,12,37,1
weight,0,12,38,1
weight,0,12,39,1
weight,0,12,40,2
weight,0,12,41,2
weight,0,12,42,2
weight,0,12,43,2
weight,0,12,44,2
weight,0,12,45,2
weight,0,12,46,2
weight,0,12,47,2
weight,0,12,48,1
weight,0,12,49,1
weight,0,12,50,1
weight,0,12,51,1
weight,0,12,52,1
weight,0,12,53,1
weight,0,12,54,1
weight,0,12,55,1
weight,0,12,56,2
weight,0,12,57,2
weight,0,12,58,2
weight,0,12,59,2
weight,0,12,60,2
weight,0,12,61,2
weight,0,12,62,2
weight,0,12,63,2
weight,0,13,0,1
weight,0,13,1,1
weight,0,13,2,1
weight,0,13,3,1
weight,0,13,4,1
weight,0,13,5,1
weight,0,13,6,1
weight,0,13,7,1
weight,0,13,8,2
weight,0,13,9,2
weight,0,13,10,2
weight,0,13,11,2
weight,0,13,12,2
weight,0,13,13,2
weight,0,13,14,2
weight,0,13,15,2
weight,0,13,16,1
weight,0,13,17,1
weight,0,13,18,1
weight,0,13,19,1
weight,0,13,20,1
weight,0,13,21,1
weight,0,13,22,1
weight,0,13,23,1
weight,0,13,24,2
weight,0,13,25,2
weight,0,13,26,2
weight,0,13,27,2
weight,0,13,28,2
weight,0,13,29,2
weight,0,13,30,2
weight,0,13,31,2
weight,0,13,32,1
weight,0,13,33,1
weight,0,13,34,1
weight,0,13,35,1
weight,0,13,36,1
weight,0,13,37,1
weight,0,13,38,1
weight,0,13,39,1
weight,0,13,40,2
weight,0,13,41,2
weight,0,13,42,2
weight,0,13,43,2
weight,0,13,44,2
weight,0,13,45,2
weight,0,13,46,2
weight,0,13,47,2
weight,0,13,48,1
weight,0,13,49,1
weight,0,13,50,1
weight,0,13,51,1
weight,0,13,52,1
weight,0,13,53,1
weight,0,13,54,1
weight,0,13,55,1
weight,0,13,56,2
weight,0,13,57,2
weight,0,13,58,2
weight,0,13,59,2
weight,0,13,60,2
weight,0,13,61,2
weight,0,13,62,2
weight,0,13,63,2
weight,0,14,0,1
weight,0,14,1,1
weight,0,14,2,1
weight,0,14,3,1
weight,0,14,4,1
weight,0,14,5,1
weight,0,14,6,1
weight,0,14,7,1
weight,0,14,8,2
weight,0,14,9,2
weight,0,14,10,2
weight,0,14,11,2
weight,0,14,12,2
weight,0,14,13,2
weight,0,14,14,2
weight,0,14,15,2
weight,0,14,16,1
weight,0,14,17,1
weight,0,14,18,1
weight,0,14,19,1
weight,0,14,20,1
weight,0,14,21,1
weight,0,14,22,1
weight,0,14,23,1
weight,0,14,24,2
weight,0,14,25,2
weight,0,14,26,2
weight,0,14,27,2
weight,0,14,28,2
weight,0,14,29,2
weight,0,14,30,2
weight,0,14,31,2
weight,0,14,32,1
weight,0,14,33,1
weight,0,14,34,1
weight,0,14,35,1
weight,0,14,36,1
weight,0,14,37,1
weight,0,14,38,1
weight,0,14,39,1
weight,0,14,40,2
weight,0,14,41,2
weight,0,14,42,2
weight,0,14,43,2
weight,0,14,44,2
weight,0,14,45,2
weight,0,14,46,2
weight,0,14,47,2
weight,0,14,48,1
weight,0,14,49,1
weight,0,14,50,1
weight,0,14,51,1
weight,0,14,52,1
weight,0,14,53,1
weight,0,14,54,1
weight,0,14,55,1
weight,0,14,56,2
weight,0,14,57,2
weight,0,14,58,2
weight,0,14,59,2
weight,0,14,60,2
weight,0,14,61,2
weight,0,14,62,2
weight,0,14,63,2
weight,0,15,0,1
weight,0,15,1,1
weight,0,15,2,1
weight,0,15,3,1
weight,0,15,4,1
weight,0,15,5,1
weight,0,15,6,1
weight,0,15,7,1
weight,0,15,8,2
weight,0,15,9,2
weight,0,15,10,2
weight,0,15,11,2
weight,0,15,12,2
weight,0,15,13,2
weight,0,15,14,2
weight,0,15,15,2
weight,0,15,16,1
weight,0,15,17,1
weight,0,15,18,1
weight,0,15,19,1
weight,0,15,20,1
weight,0,15,21,1
weight,0,15,22,1
weight,0,15,23,1
weight,0,15,24,2
weight,0,15,25,2
weight,0,15,26,2
weight,0,15,27,2
weight,0,15,28,2
weight,0,15,29,2
weight,0,15,30,2
weight,0,15,31,2
weight,0,15,32,1
weight,0,15,33,1
weight,0,15,34,1
weight,0,15,35,1
weight,0,15,36,1
weight,0,15,37,1
weight,0,15,38,1
weight,0,15,39,1
weight,0,15,40,2
weight,0,15,41,2
weight,0,15,42,2
weight,0,15,43,2
weight,0,15,44,2
weight,0,15,45,2
weight,0,15,46,2
weight,0,15,47,2
weight,0,15,48,1
weight,0,15,49,1
weight,0,15,50,1
weight,0,15,51,1
weight,0,15,52,1
weight,0,15,53,1
weight,0,15,54,1
weight,0,15,55,1
weight,0,15,56,2
weight,0,15,57,2
weight,0,15,58,2
weight,0,15,59,2
weight,0,15,60,2
weight,0,15,61,2
weight,0,15,62,2
weight,0,15,63,2
scale,0,-1,0,0.25
scale,0,-1,1,0.125
scale,0,-1,2,0.25
scale,0,-1,3,0.125
scale,0,-1,4,0.25
scale,0,-1,5,0.125
scale,0,-1,6,0.25
scale,0,-1,7,0.125
scale,0,-1,8,0.25
scale,0,-1,9,0.125
scale,0,-1,10,0.25
scale,0,-1,11,0.125
scale,0,-1,12,0.25
scale,0,-1,13,0.125
scale,0,-1,14,0.25
scale,0,-1,15,0.125
scale,0,-1,16,1
scale,0,-1,17,0.5
scale,0,-1,18,1
scale,0,-1,19,0.5
scale,0,-1,20,1
scale,0,-1,21,0.5
scale,0,-1,22,1
scale,0,-1,23,0.5
scale,0,-1,24,1
scale,0,-1,25,0.5
scale,0,-1,26,1
scale,0,-1,27,0.5
scale,0,-1,28,1
scale,0,-1,29,0.5
scale,0,-1,30,1
scale,0,-1,31,0.5
# Large Tile 1 (row=0, col=1)
weight,1,0,0,4
weight,1,0,1,4
weight,1,0,2,4
weight,1,0,3,4
weight,1,0,4,4
weight,1,0,5,4
weight,1,0,6,4
weight,1,0,7,4
weight,1,0,8,8
weight,1,0,9,8
weight,1,0,10,8
weight,1,0,11,8
weight,1,0,12,8
weight,1,0,13,8
weight,1,0,14,8
weight,1,0,15,8
weight,1,0,16,4
weight,1,0,17,4
weight,1,0,18,4
weight,1,0,19,4
weight,1,0,20,4
weight,1,0,21,4
weight,1,0,22,4
weight,1,0,23,4
weight,1,0,24,8
weight,1,0,25,8
weight,1,0,26,8
weight,1,0,27,8
weight,1,0,28,8
weight,1,0,29,8
weight,1,0,30,8
weight,1,0,31,8
weight,1,0,32,4
weight,1,0,33,4
weight,1,0,34,4
weight,1,0,35,4
weight,1,0,36,4
weight,1,0,37,4
weight,1,0,38,4
weight,1,0,39,4
weight,1,0,40,8
weight,1,0,41,8
weight,1,0,42,8
weight,1,0,43,8
weight,1,0,44,8
weight,1,0,45,8
weight,1,0,46,8
weight,1,0,47,8
weight,1,0,48,4
weight,1,0,49,4
weight,1,0,50,4
weight,1,0,51,4
weight,1,0,52,4
weight,1,0,53,4
weight,1,0,54,4
weight,1,0,55,4
weight,1,0,56,8
weight,1,0,57,8
weight,1,0,58,8
weight,1,0,59,8
weight,1,0,60,8
weight,1,0,61,8
weight,1,0,62,8
weight,1,0,63,8
weight,1,1,0,4
weight,1,1,1,4
weight,1,1,2,4
weight,1,1,3,4
weight,1,1,4,4
weight,1,1,5,4
weight,1,1,6,4
weight,1,1,7,4
weight,1,1,8,8
weight,1,1,9,8
weight,1,1,10,8
weight,1,1,11,8
weight,1,1,12,8
weight,1,1,13,8
weight,1,1,14,8
weight,1,1,15,8
weight,1,1,16,4
weight,1,1,17,4
weight,1,1,18,4
weight,1,1,19,4
weight,1,1,20,4
weight,1,1,21,4
weight,1,1,22,4
weight,1,1,23,4
weight,1,1,24,8
weight,1,1,25,8
weight,1,1,26,8
weight,1,1,27,8
weight,1,1,28,8
weight,1,1,29,8
weight,1,1,30,8
weight,1,1,31,8
weight,1,1,32,4
weight,1,1,33,4
weight,1,1,34,4
weight,1,1,35,4
weight,1,1,36,4
weight,1,1,37,4
weight,1,1,38,4
weight,1,1,39,4
weight,1,1,40,8
weight,1,1,41,8
weight,1,1,42,8
weight,1,1,43,8
weight,1,1,44,8
weight,1,1,45,8
weight,1,1,46,8
weight,1,1,47,8
weight,1,1,48,4
weight,1,1,49,4
weight,1,1,50,4
weight,1,1,51,4
weight,1,1,52,4
weight,1,1,53,4
weight,1,1,54,4
weight,1,1,55,4
weight,1,1,56,8
weight,1,1,57,8
weight,1,1,58,8
weight,1,1,59,8
weight,1,1,60,8
weight,1,1,61,8
weight,1,1,62,8
weight,1,1,63,8
weight,1,2,0,4
weight,1,2,1,4
weight,1,2,2,4
weight,1,2,3,4
weight,1,2,4,4
weight,1,2,5,4
weight,1,2,6,4
weight,1,2,7,4
weight,1,2,8,8
weight,1,2,9,8
weight,1,2,10,8
weight,1,2,11,8
weight,1,2,12,8
weight,1,2,13,8
weight,1,2,14,8
weight,1,2,15,8
weight,1,2,16,4
weight,1,2,17,4
weight,1,2,18,4
weight,1,2,19,4
weight,1,2,20,4
weight,1,2,21,4
weight,1,2,22,4
weight,1,2,23,4
weight,1,2,24,8
weight,1,2,25,8
weight,1,2,26,8
weight,1,2,27,8
weight,1,2,28,8
weight,1,2,29,8
weight,1,2,30,8
weight,1,2,31,8
weight,1,2,32,4
weight,1,2,33,4
weight,1,2,34,4
weight,1,2,35,4
weight,1,2,36,4
weight,1,2,37,4
weight,1,2,38,4
weight,1,2,39,4
weight,1,2,40,8
weight,1,2,41,8
weight,1,2,42,8
weight,1,2,43,8
weight,1,2,44,8
weight,1,2,45,8
weight,1,2,46,8
weight,1,2,47,8
weight,1,2,48,4
weight,1,2,49,4
weight,1,2,50,4
weight,1,2,51,4
weight,1,2,52,4
weight,1,2,53,4
weight,1,2,54,4
weight,1,2,55,4
weight,1,2,56,8
weight,1,2,57,8
weight,1,2,58,8
weight,1,2,59,8
weight,1,2,60,8
